H3K27me3;417.969;304.208;12588
H3K27me3;392.632;272.553;7300
H3K27me3;654.944;436.799;18
H3K4me1;178.833;50.2136;20467
H3K4me1;178.045;49.6545;16532
H3K4me1;178.163;49.0155;13548
H3K4me1;171.886;43.5921;7938
H3K4me3;260.165;126.94;12926
H3K4me3;269.782;134.03;14809
H3K4me3;190.142;60.2358;2790
H3K4me3;186.135;60.5115;1971
H3K27ac;358;206.097;25509
H3K27ac;374.439;232.935;33690
H3K27ac;379.485;229.753;33855
H3K27ac;369.993;218.648;25196
H3K27me3;950.016;843.288;185
H3K27me3;1059.97;920.385;189
H3K27me3;742.583;687.149;240
H3K27me3;949.41;795.182;83
H3K36me3;1045.79;945.054;84
H3K36me3;498.7;435.125;537
H3K36me3;890.474;865.849;76
H3K36me3;825.27;725.615;111
H3K4me1;243.248;185.292;419
H3K4me1;288.105;146.394;38
H3K4me1;205.837;131.863;945
H3K4me1;208.377;83.1973;10475
H3K4me2;286.95;147.042;26023
H3K4me2;270.793;139.104;25111
H3K4me2;307.572;168.015;35499
H3K4me2;321.564;180.946;42060
H3K4me3;570.439;354.264;21595
H3K4me3;522.434;341.052;24009
H3K4me3;606.538;383.299;22254
H3K4me3;486.254;305.242;22862
H3K9ac;269.153;130.448;8496
H3K9ac;262.121;130.705;5820
H3K9ac;268.695;129.553;8481
H3K18ac;220.227;105.627;3653
H3K18ac;212.03;78.4434;13652
H3K27me3;667.576;419.849;132
H3K27me3;511.18;316.188;1476
H3K36me3;450.933;273.157;2490
H3K36me3;458.195;312.602;645
H3K4me1;236.174;103.909;28753
H3K4me1;201.435;69.2707;6383
H3K4me2;332.174;214.692;48029
H3K4me2;306.616;178.854;36190
H3K4me3;408.777;297.574;33301
H3K4me3;454.241;343.264;39032
H3K9ac;244.516;124.892;6315
H3K9ac;262.999;132.117;8957
H4K12ac;234.278;123.367;3350
H4K12ac;290.198;220.299;131
H3K36me3;820.393;549.269;229
H3.1;304.803;200.143;117
H3K27me3;618.642;399.855;95
H3K4me3;431.056;257.331;26615
H3.2;307.244;223.002;90
H3K36me3;731.562;514.145;80
H3.2;297.333;199.519;108
H3K36me3;748.64;575.959;86
H3K4me1;201.401;122.988;257
H3.3;205.255;112.38;318
H3K4me3;428.732;258.26;28016
H3.3;231.624;161.231;423
H3K4me1;237.862;147.207;210
H3K36me3;738.063;511.073;79
H3.3;235.412;176.362;731
H3K27me3;680.154;423.913;719
H3K27me3;497.944;316.01;1724
H3K4me3;532.768;370.213;63558
H3K36me3;705.272;490.485;169
H3.3;226.058;148.027;824
H3K27me3;546.51;355.005;3018
H3K27me3;398.414;315.737;12820
H3K4me1;271.21;139.261;42212
H3K4me1;248.63;123.816;73484
H3K4me3;617.851;425.63;18821
H3K4me3;540.894;430.726;32499
H3K9me3;370.356;275.363;9526
H3K9me3;545.005;408.983;84663
H3K27me3;544.632;436.981;53933
H3K27me3;678.815;445.214;340
H3K4me1;291.315;170.963;208749
H3K4me1;190.502;60.9504;8291
H3K4me3;318.52;226.842;43282
H3K4me3;523.133;354.598;24476
H3K9me3;665.35;497.992;73758
H3K9me3;502.663;362.365;7068
H3K27me3;702.484;613.638;91
H3ac;304.388;158.335;19135
H3K9ac;260.689;140.373;33084
H3K27me3;655.266;486.094;128
H3K27me3;615.013;451.092;79
H2A;219.157;113.218;140
H3K27me3;585.598;376.19;112
H3K27me3;558.489;366.496;133
H3K4me3;274.984;140.721;20690
H3K4me3;285.726;149.658;23526
H3K9ac;297.925;161.91;10285
H3K27me3;583.233;385.566;3918
H3K4me3;263.023;130.837;20428
H3ac;270.272;156.631;38098
H3;276.832;180.535;167
H3K27ac;334.912;204.149;42890
H3K27ac;318.087;185.921;44809
H3K36me3;764.806;527.073;1780
H3K36me3;786.591;433.79;220
H3K4me1;190.509;60.72;8150
H3K4me1;202.232;67.6356;13141
H3K4me1;199.056;67.5336;10362
H3K4me1;192.197;79.6952;3220
H3K4me2;289.36;202.522;25
H3K4me3;390.181;199.148;16862
H3K4me3;383.326;218.365;31040
H3K4me3;371.035;207.019;29758
H3K4me3;343.326;187.161;26782
H3K4me3;218.8;84.4974;9405
H3K79me2;280.117;168.656;5000
H3K79me2;210.574;76.8415;451
H3K9me3;494.642;317.523;5365
H3K9me3;459.529;299.554;5092
H3K9me3;575.265;446.899;479
H3K9me3;595.868;465.118;250
H3K9me3;539.466;340.42;1197
H3K9me3;519.189;325.451;834
H3K9me3;468.6;289.345;3619
H4K20me3;222.46;90.6219;10199
H3K27me3;816.534;762.004;148
H3K27me3;763.274;589.151;62
H3K27me3;770.458;591.436;59
H3K4me3;250.926;113.987;7531
H3K4me3;315.058;158.463;11117
H3K4me3;355.011;193.138;14012
H2A;214.819;82.0151;116
H2A1;240.911;98.4267;45
H2BK5ac;379.09;238.702;43138
H2BK5ac;387.383;247.842;44337
H3;215.851;121.441;671
H3;219.231;146.477;603
H3;270.944;175.288;90
H3;289;179.18;132
H3K36me3;705.391;538.455;64
H3.2;282.88;188.452;108
H3.3;215.877;94.4159;3214
H3.3;211.247;101.259;1964
H3K36me3;721.151;512.832;73
H3K4me1;192.66;100.806;297
H3.3;216.338;113.148;426
H3K4me1;183.705;57.9285;3169
H3K36me3;650.488;518.81;86
H3.3;245.152;166.129;283
H3ac;271.186;143.132;23037
H3K27ac;340.274;199.439;28267
H3K27ac;320.8;176.852;38387
H3K27ac;296.28;167.612;32421
H3K27ac;284.736;165.844;46798
H3K27me3;759.463;561.816;6630
H3K27me3;683.327;487.771;5891
H3K27me3;567.123;403.773;6062
H3K27me3;221.437;243.424;238
H3K27me3;171.935;186.022;947
H3K27me3;730.775;438.823;2477
H3K27me3;672.2;322.994;15
H3K27me3;618.293;355.008;3326
H3K27me3;542.221;419.357;163
H3K27me3;747.402;481.79;694
H3K27me3;956.16;527.181;5403
H3K27me3;379.217;330.579;549
H3K27me3;690.094;390.934;752
H3K27me3;648.997;360.21;674
H3K27me3;935.597;598.534;6357
H3K27me3;754.351;402.078;1391
H3K27me3;767.412;402.803;1533
H3K27me3;741.219;453.856;3622
H3K27me3;609.929;361.202;538
H3K27me3;820.143;789.14;126
H3K27me3;782.524;817.087;145
H3K27me3;567.781;716.057;128
H3K27me3;671.256;710.415;117
H3K27me3;239.156;165.939;1016
H3K27me3;301.173;245.969;202
H3K27me3;1079;726.055;13927
H3K27me3;1049.02;709.26;8874
H3K27me3;1014.27;661.981;4110
H3K27me3;710.203;453.451;1749
H3K27me3;387.5;276.805;11092
H3K27me3;314.049;200.213;4467
H3K27me3;647.078;693.867;77
