H3K27me3;660.0182806485543
H3K4me1;335.20340456786926
H3K4me3;534.2509407910444
H3K27ac;390.29545427752674
H3K36me3;801.0353087738738
H3K4me2;392.00039164122416
H3K9ac;423.74571698586794
H3K18ac;341.14901866689394
H4K12ac;299.29018312820915
H3.1;219.90431179656173
H3.2;323.5700460066432
H3.3;289.76822482560954
H3K9me3;607.2277511772459
H3ac;402.69346982528725
H2A;239.98522227015366
H3;316.3474194045703
H3K79me2;288.64056904643826
H4K20me3;222.59379672578444
H2A1;241.54828191249436
H2BK5ac;392.8374326325563
H4K16ac;297.4256686339857
H4K5ac;365.6855836923253
H4K8ac;327.0611326685161
H4ac;344.0227522635568
Histone Lysine Acetylation;242.60454333099744
Histone Lysine Crotonylation;338.3516322957478
H2Aub1;241.38105475145719
H3R2me2sK4me3;416.648
H2Bub;239.7403153846154
H3K9me2;215.73511988789508
H2AZac;277.3394032608696
H3K14ac;217.09845161923454
H2BK119ub1;232.76543724696356
H2Bac;258.65306007751934
H3K9ac, H3K14ac;529.6199646250186
H3K56ac;243.4250656177765
H2B;371.82435680379746
H3K9me1;243.56484514003296
H4K20me1;327.96346190173153
H4K91ac;327.206985016813
H3K36me2;261.87072714114737
H2BK120ac;290.8072070553206
H3.1, H3.2;269.9469782122905
H2BK20ac;190.86160465974626
H3K79me3;326.09950092434207
H3K4Tm3;607.0531773828999
H4;397.15
H3R2me2s;301.745
H3gen;267.9432107023411
H4R3me2;228.1177335483402
H3.3B;222.5275433826225
H3K27me2;295.99120990312167
H3K27me1;253.97128683241252
H2AX;264.97369820112704
H3K79me1;481.5820172357266
H2AFY2;209.57089721850986
H2AK119;267.7156435555556
H3K18cr;322.21921363659703
H3K64ac;275.255287110075
